id,lang_tgt,severity,mqm_score,num_template_qs,num_srl_qs,num_diff_qs,num_atomic_qs,num_questions,num_mismatches,askqe_score
doc7_row4916_row133,es,Minor,99,0,1,0,4,5,0,1.0
doc42_row769_row134,es,No Error,100,6,2,2,5,15,2,0.8947368421052632
doc47_row2459_row135,es,Minor,99,0,1,1,3,5,0,1.0
doc42_row1189_row136,es,No Error,100,5,1,0,5,11,0,1.0
doc61_row4162_row137,es,Minor,97,1,4,2,5,12,3,0.8444444444444444
doc47_row4166_row138,es,Major,92,4,2,2,5,13,3,0.7843137254901961
doc7_row1717_row139,es,No Error,100,1,1,2,2,6,3,0.631578947368421
doc72_row4229_row140,es,No Error,100,2,1,0,2,5,0,1.0
doc12_row1769_row141,es,Major,93,3,3,3,6,15,7,0.5833333333333334
doc98_row4121_row142,es,Minor,95,2,3,0,5,10,0,1.0
doc42_row1073_row143,es,Minor,99,1,1,2,6,10,3,0.7222222222222222
doc6_row1948_row144,es,No Error,100,1,3,3,5,12,3,0.8571428571428571
doc98_row4359_row145,es,Minor,96,2,2,4,4,12,6,0.5609756097560976
doc12_row1701_row146,es,No Error,100,6,2,2,2,12,3,0.86
doc55_row148_row147,es,Minor,98,0,1,1,3,5,0,1.0
doc47_row4244_row148,es,Major,93,4,2,1,5,12,2,0.8979591836734694
doc6_row1880_row149,es,No Error,100,1,0,0,2,3,1,0.6153846153846154
doc63_row3974_row150,es,Minor,98,0,1,4,4,9,5,0.5
doc42_row4180_row151,es,Minor,98,1,1,0,3,5,0,1.0
doc6_row4405_row152,es,Minor,99,0,1,2,5,8,2,0.8571428571428571
doc47_row2396_row153,es,No Error,100,0,1,1,3,5,0,1.0
doc7_row4445_row154,es,No Error,100,1,1,0,2,4,0,1.0
doc55_row4196_row155,es,No Error,100,5,3,0,7,15,3,0.8135593220338984
doc42_row538_row156,es,Major,95,4,1,1,2,8,4,0.5483870967741935
doc47_row4412_row157,es,Major,92,4,2,2,8,16,3,0.8769230769230769
doc55_row1492_row158,es,Major,93,0,1,0,3,4,0,1.0
doc12_row1904_row159,es,No Error,100,2,3,0,4,9,0,1.0
doc42_row874_row160,es,No Error,100,4,1,0,2,7,0,1.0
doc55_row4113_row161,es,No Error,100,2,1,2,3,8,4,0.5357142857142857
doc12_row4969_row162,es,No Error,100,4,3,4,7,18,2,0.9322033898305084
doc42_row978_row163,es,Major,75,4,2,3,5,14,6,0.6481481481481481
doc86_row4122_row164,es,Minor,95,0,1,2,5,8,2,0.7857142857142857
doc7_row1914_row165,es,No Error,100,0,1,0,2,3,0,1.0
doc47_row2187_row166,es,Minor,99,1,1,0,3,5,1,0.8421052631578947
doc63_row4215_row167,es,Minor,96,5,1,0,5,11,0,1.0
doc63_row3975_row168,es,Minor,97,5,1,0,5,11,0,1.0
doc42_row1085_row169,es,Minor,99,5,1,0,5,11,2,0.8076923076923077
doc7_row3889_row170,es,No Error,100,0,1,3,4,8,3,0.6923076923076923
